name,age,bp,position,height,weight,foot,growth,value,wage,release_clause,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,total_stats,base_stats,w/f,sm,a/w,d/w,ir,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova
V. Emmersón,24,CB,CB,195.57999999999998,84.15,Right,7,325000.0,2000,471000.0,25,24,64,58,28.0,38,22.0,24,52,50,53,55,42.0,52,46.0,58,59.0,59,78,21,64,59.0,29.0,26.0,30,42.0,59,62,58.0,5,13,11,6,8,1338,299,2,2,High,High,1,54,31,41,43,60,70,3,45,45,45,40,42,42,42,40,41,41,41,43,46,46,46,43,52,57,57,57,52,54,61,61,61,54,13,61
Campos,33,GK,GK,187.96,81.45,Right,0,300000.0,2000,465000.0,19,5,9,15,4.0,5,20.0,22,19,16,23,38,32.0,59,67.0,46,54.0,35,34,4,33,22.0,14.0,30.0,15,31.0,22,10,9.0,69,66,61,62,64,1003,353,3,1,Medium,Medium,1,69,66,61,64,31,62,4,20,20,20,19,20,20,20,19,19,19,19,21,21,21,21,21,23,23,23,23,23,22,22,22,22,22,64,65
C. Jolley,19,ST,ST,177.8,65.7,Left,20,200000.0,700,550000.0,38,60,55,45,53.0,56,43.0,33,40,54,68,69,60.0,51,60.0,56,62.0,52,45,56,43,18.0,57.0,48.0,55,50.0,12,16,17.0,10,5,11,11,12,1371,292,3,2,Medium,Medium,1,69,58,43,56,19,47,11,56,56,56,55,55,55,55,55,53,53,53,53,46,46,46,53,38,35,35,35,38,36,32,32,32,36,14,56
Artur,24,CDM,CDM CM,180.34,69.3,Right,5,3800000.0,5000,6000000.0,54,49,59,75,42.0,70,49.0,59,68,73,61,67,77.0,68,68.0,59,60.0,83,69,49,74,68.0,64.0,65.0,57,68.0,69,73,69.0,6,6,10,13,5,1838,395,2,3,Medium,Medium,1,64,52,66,71,69,73,36,62,62,62,65,65,65,65,65,67,67,67,67,69,69,69,67,69,71,71,71,69,69,69,69,69,69,14,72
L. Gueye,22,RM,RW,177.8,73.35000000000001,Right,10,1400000.0,7000,3100000.0,67,72,53,63,59.0,68,65.0,73,58,71,76,77,70.0,50,72.0,69,53.0,66,55,67,38,19.0,67.0,62.0,63,65.0,19,23,18.0,6,10,11,13,8,1661,355,3,2,High,Low,1,77,69,63,68,24,54,10,66,66,66,68,67,67,67,68,66,66,66,67,59,59,59,67,48,44,44,44,48,45,36,36,36,45,14,68
J. Mora,27,LB,LB LWB,175.26,59.4,Left,1,900000.0,3000,1400000.0,63,44,51,61,39.0,64,50.0,39,49,63,78,78,76.0,65,77.0,59,67.0,73,54,42,69,62.0,53.0,51.0,44,59.0,67,68,64.0,15,13,14,6,11,1729,373,2,3,Medium,Medium,1,78,47,56,66,64,62,8,57,57,57,61,59,59,59,61,59,59,59,62,58,58,58,62,66,62,62,62,66,66,63,63,63,66,17,68
A. Odimayo,20,CB,CB,182.88,74.25,Left,14,190000.0,1000,451000.0,30,16,55,50,21.0,41,30.0,15,38,40,53,68,54.0,50,53.0,37,65.0,61,60,23,53,54.0,24.0,37.0,18,48.0,56,60,57.0,10,10,5,9,11,1264,281,2,2,Medium,Medium,1,61,22,39,43,57,59,8,38,38,38,39,39,39,39,39,40,40,40,42,43,43,43,42,51,51,51,51,51,53,56,56,56,53,14,56
P. Tietz,22,ST,ST,190.5,88.2,Right,7,525000.0,2000,866000.0,31,65,65,62,53.0,61,28.0,25,43,64,55,59,61.0,62,52.0,62,68.0,64,78,54,51,25.0,63.0,58.0,47,51.0,23,36,23.0,10,7,5,11,7,1478,330,3,2,Medium,Medium,1,57,61,49,62,32,69,3,63,63,63,58,62,62,62,58,60,60,60,57,56,56,56,57,45,47,47,47,45,43,45,45,45,43,14,63
B. Szeliga,24,RW,ST RM RB,182.88,78.3,Right,4,600000.0,3000,855000.0,63,63,47,59,61.0,65,49.0,42,57,67,84,85,72.0,49,73.0,58,67.0,76,75,64,61,50.0,64.0,53.0,50,54.0,55,58,51.0,13,7,13,12,9,1772,396,4,2,High,Medium,1,85,62,57,66,54,72,3,63,63,63,65,63,63,63,65,63,63,63,65,60,60,60,65,62,58,58,58,62,60,57,57,57,60,15,64
D. Yearwood,20,RM,CM,175.26,62.550000000000004,Right,14,800000.0,1000,1700000.0,50,48,53,65,42.0,65,51.0,45,62,64,83,81,79.0,59,81.0,64,72.0,79,74,60,66,61.0,57.0,62.0,52,64.0,59,62,60.0,11,13,10,14,8,1812,396,3,3,High,High,1,82,54,59,67,60,74,43,60,60,60,63,62,62,62,63,63,63,63,64,63,63,63,64,64,64,64,64,64,64,63,63,63,64,17,63
J. Sargent,20,ST,ST RW,185.42,78.3,Right,13,2000000.0,10000,4700000.0,54,72,64,65,62.0,68,62.0,56,51,69,78,79,76.0,69,68.0,69,64.0,73,64,61,64,43.0,70.0,59.0,57,67.0,30,35,33.0,8,7,9,8,9,1756,379,4,3,High,Medium,1,79,68,59,69,38,66,318,69,69,69,68,69,69,69,68,67,67,67,67,62,62,62,67,56,53,53,53,56,54,49,49,49,54,15,69
Elias Fontoira,24,CDM,CDM,185.42,73.35000000000001,Right,0,5500000.0,18000,10500000.0,70,69,66,73,67.0,74,74.0,75,74,75,68,69,67.0,76,60.0,68,75.0,73,69,72,65,75.0,66.0,77.0,72,82.0,80,67,73.0,8,7,12,10,12,2038,428,3,2,Medium,Medium,1,69,69,74,73,73,70,3,70,70,70,72,72,72,72,72,73,73,73,72,74,74,74,72,73,73,73,73,73,72,72,72,72,72,17,74
F. Frei,31,CDM,CDM CM,182.88,79.2,Right,0,4300000.0,14000,6500000.0,74,71,69,73,72.0,69,73.0,67,75,73,63,66,68.0,72,68.0,74,70.0,82,73,72,64,73.0,72.0,78.0,66,76.0,73,69,67.0,12,15,8,11,14,2046,425,3,3,High,Medium,1,65,72,74,70,71,73,11,71,71,71,71,71,71,71,71,72,72,72,72,74,74,74,72,72,73,73,73,72,71,70,70,70,71,19,74
Henrique Gomes,24,CB,LB,185.42,77.4,Left,7,3900000.0,6000,8800000.0,63,31,69,58,33.0,64,34.0,37,34,69,63,68,53.0,73,56.0,26,67.0,84,73,30,73,72.0,50.0,37.0,41,56.0,74,73,69.0,13,13,10,12,13,1635,357,3,2,Medium,Medium,1,66,31,49,64,72,75,8,53,53,53,57,54,54,54,57,54,54,54,59,56,56,56,59,70,66,66,66,70,70,71,71,71,70,19,72
T. Carson,32,GK,,185.42,84.15,Right,0,550000.0,3000,963000.0,18,17,12,13,15.0,16,12.0,19,13,18,55,50,56.0,62,67.0,47,65.0,43,68,14,37,17.0,18.0,60.0,23,50.0,15,11,12.0,69,68,63,68,66,1207,386,2,1,Medium,Medium,1,69,68,63,66,52,68,3,29,29,29,28,29,29,29,28,29,29,29,29,26,26,26,29,25,24,24,24,25,25,25,25,25,25,67,68
D. Pillai,32,RM,RM RW,177.8,69.3,Right,0,0.0,0,0.0,61,45,42,57,56.0,60,61.0,57,55,62,72,69,67.0,61,61.0,59,53.0,68,61,53,61,57.0,57.0,60.0,40,69.0,30,50,51.0,11,14,13,13,14,1651,346,3,3,Medium,Medium,1,70,50,58,61,45,62,3,56,56,56,60,58,58,58,60,59,59,59,60,58,58,58,60,58,55,55,55,58,56,51,51,51,56,18,61
G. Debeljuh,23,ST,ST,185.42,79.2,Right,7,775000.0,4000,1200000.0,33,67,67,50,48.0,60,35.0,32,32,62,63,59,55.0,66,45.0,69,80.0,84,80,51,70,12.0,68.0,49.0,57,54.0,17,15,12.0,15,11,9,11,12,1496,325,3,2,Medium,Medium,1,61,63,42,60,20,79,6,65,65,65,58,61,61,61,58,57,57,57,57,51,51,51,57,41,40,40,40,41,39,39,39,39,39,18,65
L. Emini,20,CM,CM,175.26,73.35000000000001,Right,13,300000.0,2000,623000.0,52,38,48,62,34.0,55,36.0,55,63,59,63,61,62.0,53,73.0,56,60.0,70,57,39,68,58.0,55.0,61.0,39,45.0,51,57,59.0,8,10,6,10,10,1588,339,3,2,Medium,Medium,1,62,43,58,58,55,63,3,52,52,52,55,55,55,55,55,56,56,56,57,59,59,59,57,58,59,59,59,58,58,57,57,57,58,14,59
V. Demaku,20,CDM,CDM CM,180.34,67.5,Right,10,800000.0,3000,1300000.0,48,38,49,67,29.0,57,46.0,37,62,62,56,55,70.0,63,72.0,53,54.0,70,57,38,74,63.0,48.0,62.0,45,56.0,65,63,58.0,8,7,15,5,12,1608,342,3,2,Medium,High,1,55,41,59,61,62,64,9,51,51,51,55,55,55,55,55,58,58,58,57,61,61,61,57,61,64,64,64,61,60,61,61,61,60,14,65
W. Omsberg,24,CB,CB,193.04,81.45,Right,7,325000.0,1000,553000.0,28,20,66,53,23.0,28,30.0,24,49,37,47,52,35.0,55,39.0,32,74.0,61,72,19,70,57.0,24.0,27.0,40,44.0,60,64,57.0,7,8,10,9,14,1291,277,2,2,Low,Medium,1,50,24,40,33,61,69,4,38,38,38,35,35,35,35,35,36,36,36,38,43,43,43,38,51,55,55,55,51,53,61,61,61,53,15,61
Jesús Carrillo,21,CAM,CAM LM RM,172.72,69.3,Left,11,525000.0,1000,919000.0,54,55,31,65,32.0,63,33.0,41,63,61,71,69,64.0,57,73.0,64,62.0,57,36,60,57,63.0,60.0,60.0,35,51.0,56,55,51.0,6,9,15,11,15,1604,349,3,4,Medium,Medium,1,70,56,59,63,54,47,7,56,56,56,61,61,61,61,61,62,62,62,61,61,61,61,61,59,59,59,59,59,58,53,53,53,58,16,62
Edmilson Junior,22,RM,LM RM,180.34,70.65,Right,5,9000000.0,15000,14200000.0,71,70,32,67,62.0,82,72.0,68,67,75,83,82,84.0,70,72.0,83,72.0,82,59,74,62,46.0,72.0,69.0,63,75.0,37,52,49.0,14,16,8,10,11,1936,413,5,4,High,High,1,82,73,69,79,44,66,3,69,69,69,75,74,74,74,75,73,73,73,74,69,69,69,74,64,60,60,60,64,61,52,52,52,61,19,75
K. Darlow,29,GK,GK,190.5,77.4,Right,2,3400000.0,24000,6700000.0,12,14,12,32,15.0,12,19.0,16,28,29,59,52,63.0,65,64.0,48,67.0,44,58,11,13,26.0,18.0,36.0,19,53.0,15,11,12.0,75,70,64,71,76,1226,411,2,1,Medium,Medium,1,75,70,64,76,55,71,35,30,30,30,29,30,30,30,29,31,31,31,30,30,30,30,30,29,29,29,29,29,28,26,26,26,28,72,73
F. Ricca,25,CB,LB,177.8,72.45,Left,3,4400000.0,17000,6500000.0,69,50,72,67,24.0,67,45.0,40,64,69,71,70,70.0,70,72.0,42,82.0,78,65,39,78,72.0,58.0,60.0,38,65.0,72,72,73.0,13,13,8,6,8,1797,390,3,2,High,Medium,1,70,45,63,68,72,72,33,60,60,60,64,62,62,62,64,63,63,63,66,65,65,65,66,71,70,70,70,71,71,72,72,72,71,17,73
J. Proctor,28,ST,ST,187.96,77.4,Right,0,250000.0,8000,463000.0,52,62,62,57,55.0,59,53.0,36,52,61,64,67,66.0,54,66.0,60,73.0,60,77,58,66,43.0,60.0,58.0,58,48.0,26,22,20.0,9,8,6,16,16,1602,341,3,2,Medium,Medium,1,66,60,54,60,31,70,5,61,61,61,59,60,60,60,59,59,59,59,59,55,55,55,59,47,47,47,47,47,45,45,45,45,45,17,61
Y. Chibsah,27,CDM,CM CDM,177.8,77.4,Right,1,2700000.0,12000,4500000.0,60,58,63,73,44.0,70,50.0,46,68,74,76,61,81.0,77,83.0,70,65.0,89,73,63,80,78.0,66.0,62.0,52,67.0,72,72,68.0,9,5,10,9,5,1932,417,3,3,Medium,High,1,68,61,65,73,72,78,3,67,67,67,68,68,68,68,68,69,69,69,69,71,71,71,69,73,74,74,74,73,72,72,72,72,72,15,71
S. Strandberg,28,CB,CB,187.96,79.2,Right,1,875000.0,2000,1400000.0,36,36,61,61,34.0,52,32.0,54,63,63,65,69,58.0,63,58.0,68,75.0,61,81,35,68,68.0,40.0,46.0,51,68.0,66,68,64.0,7,12,9,14,13,1651,358,3,2,Medium,Medium,1,67,43,52,57,66,73,3,54,54,54,52,53,53,53,52,54,54,54,54,57,57,57,54,61,65,65,65,61,62,67,67,67,62,17,68
J. Cillessen,31,GK,GK,185.42,82.35000000000001,Right,0,11500000.0,33000,24200000.0,17,10,12,50,19.0,12,10.0,10,35,32,56,50,48.0,79,50.0,58,71.0,40,67,15,25,25.0,11.0,60.0,21,61.0,18,12,11.0,81,80,77,80,79,1321,450,3,1,Medium,Medium,3,81,80,77,79,53,80,54,32,32,32,33,34,34,34,33,37,37,37,35,38,38,38,35,32,35,35,35,32,31,29,29,29,31,80,81
F. Altamirano,24,GK,GK,185.42,77.4,Right,8,725000.0,3000,1200000.0,12,12,18,27,20.0,15,15.0,15,27,22,45,45,43.0,63,32.0,50,68.0,39,58,13,31,25.0,15.0,42.0,27,48.0,28,18,24.0,67,66,66,63,67,1178,374,3,1,Medium,Medium,1,67,66,66,67,45,63,4,28,28,28,26,28,28,28,26,28,28,28,28,29,29,29,28,29,30,30,30,29,29,31,31,31,29,65,66
D. Bohar,28,LM,LM,172.72,68.4,Right,0,0.0,0,0.0,67,71,43,66,45.0,69,65.0,47,62,68,83,81,81.0,57,70.0,69,51.0,82,60,66,45,34.0,66.0,63.0,58,55.0,35,30,28.0,11,12,13,9,10,1717,377,3,3,High,Medium,1,82,67,64,69,33,62,4,65,65,65,69,68,68,68,69,67,67,67,69,63,63,63,69,56,51,51,51,56,52,43,43,43,52,16,70
D. Burns,17,RM,RM LM,175.26,61.65,Right,15,60000.0,500,131000.0,47,44,37,48,35.0,52,44.0,47,44,48,67,68,70.0,40,67.0,45,33.0,34,32,36,37,22.0,44.0,45.0,46,46.0,32,39,33.0,10,6,11,11,9,1283,276,3,3,Medium,Medium,1,68,42,46,53,33,34,4,45,45,45,50,48,48,48,50,48,48,48,49,43,43,43,49,41,38,38,38,41,41,35,35,35,41,13,50
J. Arias,27,ST,ST,175.26,63.45,Right,1,1200000.0,8000,1900000.0,40,69,69,66,55.0,63,47.0,44,45,72,62,61,68.0,68,71.0,78,74.0,72,70,68,64,23.0,73.0,55.0,72,68.0,30,17,15.0,13,7,12,11,14,1668,348,3,2,High,Low,1,61,70,53,67,27,70,4,69,69,69,64,67,67,67,64,65,65,65,63,59,59,59,63,46,47,47,47,46,44,43,43,43,44,18,69
J. Słowik,28,GK,GK,190.5,81.45,Right,2,675000.0,2000,894000.0,14,15,14,20,15.0,14,11.0,18,21,10,46,32,34.0,62,36.0,41,46.0,21,57,14,24,16.0,12.0,24.0,18,57.0,17,14,13.0,70,59,54,71,69,1002,361,2,1,Medium,Medium,1,70,59,54,69,38,71,4,25,25,25,22,23,23,23,22,22,22,22,22,21,21,21,22,22,22,22,22,22,22,23,23,23,22,66,67
Y. Çetin,23,CB,CB,187.96,89.10000000000001,Right,10,1500000.0,10000,3000000.0,37,38,71,54,37.0,43,37.0,39,43,48,53,59,46.0,50,39.0,57,69.0,55,78,41,72,65.0,30.0,28.0,42,56.0,68,76,74.0,5,10,12,12,10,1498,327,2,2,Medium,High,1,56,42,42,45,71,71,43,49,49,49,44,44,44,44,44,43,43,43,45,47,47,47,45,57,59,59,59,57,60,69,69,69,60,14,69
F. Carvalho,17,CAM,CAM,170.18,62.550000000000004,Right,23,230000.0,2000,667000.0,42,44,36,63,44.0,61,40.0,51,54,60,67,63,71.0,47,85.0,45,50.0,42,38,48,33,32.0,55.0,51.0,38,58.0,39,30,27.0,14,5,8,10,10,1403,297,4,3,Medium,Medium,1,65,45,53,62,33,39,31,50,50,50,56,55,55,55,56,57,57,57,55,53,53,53,55,45,44,44,44,45,43,38,38,38,43,14,57
S. McLoughlin,23,RM,RWB CM,175.26,69.3,Right,8,475000.0,2000,926000.0,59,56,43,62,51.0,63,55.0,47,60,62,74,75,74.0,54,74.0,60,59.0,73,57,56,55,54.0,59.0,61.0,45,58.0,57,56,57.0,14,14,6,14,5,1711,371,3,3,Medium,Medium,1,75,56,60,64,55,61,5,58,58,58,62,61,61,61,62,62,62,62,63,60,60,60,63,61,59,59,59,61,60,56,56,56,60,16,63
M. Diaby,20,LM,LM,170.18,66.60000000000001,Left,7,25000000.0,54000,47500000.0,74,71,28,79,63.0,87,66.0,41,73,80,96,90,90.0,76,92.0,73,62.0,69,44,54,54,48.0,74.0,77.0,42,75.0,46,39,46.0,8,9,8,8,14,1881,414,2,4,High,Medium,1,93,66,74,85,43,53,604,70,70,70,80,77,77,77,80,79,79,79,80,73,73,73,80,66,61,61,61,66,62,50,50,50,62,17,81
J. Attamah,26,CB,CB CDM,180.34,79.2,Right,3,2000000.0,8000,4200000.0,33,27,68,72,60.0,51,36.0,32,69,59,69,68,58.0,65,64.0,73,80.0,74,80,66,65,70.0,32.0,62.0,42,64.0,68,74,69.0,6,6,13,9,12,1732,374,2,2,High,Medium,1,68,47,58,55,70,76,3,55,55,55,53,55,55,55,53,58,58,58,56,63,63,63,56,64,69,69,69,64,66,70,70,70,66,15,70
C. Aránguiz,31,CDM,CDM CM,170.18,69.3,Right,0,19500000.0,78000,33200000.000000004,78,66,53,85,68.0,79,75.0,76,84,83,71,51,79.0,87,86.0,78,61.0,85,64,77,81,85.0,75.0,81.0,76,81.0,86,74,72.0,15,7,12,8,13,2171,446,4,3,Medium,Medium,2,60,72,82,81,78,73,64,72,72,72,77,77,77,77,77,79,79,79,78,82,82,82,78,79,82,82,82,79,77,75,75,75,77,19,83
A. Di María,32,RW,RW LW,180.34,68.4,Left,0,39000000.0,160000,72200000.0,88,79,51,83,78.0,88,89.0,88,80,87,82,83,94.0,84,76.0,83,72.0,78,60,86,73,42.0,84.0,88.0,73,86.0,41,55,52.0,10,7,11,12,11,2168,453,2,5,High,Medium,4,83,81,85,88,48,68,180,79,79,79,85,84,84,84,85,85,85,85,85,81,81,81,85,70,67,67,67,70,66,58,58,58,66,18,87
A. Gogić,26,CB,CDM CM,185.42,82.35000000000001,Right,3,600000.0,2000,1100000.0,41,35,62,59,36.0,49,47.0,39,57,58,37,37,61.0,62,49.0,68,70.0,74,87,48,85,64.0,42.0,49.0,51,50.0,63,64,62.0,8,11,14,12,10,1611,334,3,2,Low,High,1,37,45,52,54,63,83,6,52,52,52,48,50,50,50,48,51,51,51,50,56,56,56,50,58,64,64,64,58,58,66,66,66,58,16,65
R. Reçber,37,GK,GK,187.96,75.60000000000001,Right,9,0.0,0,0.0,14,11,13,27,13.0,10,13.0,14,33,23,44,45,41.0,63,63.0,26,72.0,45,69,14,53,23.0,15.0,33.0,21,,13,11,12.0,71,74,63,77,74,1193,404,1,1,,,3,71,74,63,74,45,77,4,27,27,27,29,26,26,26,29,24,24,24,28,29,29,29,28,24,30,30,30,24,27,30,30,30,27,73,73
Junior Malanda,19,CDM,CDM CB,180.34,77.4,Right,12,1500000.0,35000,0.0,51,39,68,73,56.0,66,27.0,28,68,72,74,71,64.0,72,80.0,81,77.0,77,91,66,84,73.0,57.0,61.0,34,,65,75,67.0,14,6,14,8,8,1867,411,3,2,Medium,Medium,1,72,54,61,69,70,85,8,63,63,63,64,65,65,65,64,66,66,66,66,69,69,69,66,69,73,73,73,69,70,73,73,73,70,13,73
C. Viet,21,RB,RB RM CM,182.88,77.4,Right,7,325000.0,2000,569000.0,63,28,55,64,27.0,57,31.0,30,62,58,69,65,63.0,47,58.0,26,63.0,63,61,31,58,55.0,50.0,46.0,41,44.0,54,63,58.0,13,6,15,10,10,1500,329,3,2,High,Medium,1,67,30,57,57,57,61,5,47,47,47,54,50,50,50,54,53,53,53,57,55,55,55,57,59,58,58,58,59,59,58,58,58,59,14,61
B. Touré,28,CDM,CDM CM,182.88,72.45,Right,1,1800000.0,4000,3400000.0,62,42,62,66,35.0,61,55.0,46,65,72,54,33,60.0,67,61.0,66,72.0,77,73,66,69,68.0,40.0,64.0,56,65.0,69,69,67.0,12,11,9,6,9,1744,363,3,2,Low,High,1,42,52,63,65,68,73,4,56,56,56,58,58,58,58,58,60,60,60,60,65,65,65,60,65,69,69,69,65,65,68,68,68,65,16,70
Catena,25,CB,CB,193.04,79.2,Right,6,1100000.0,3000,2000000.0,39,24,69,60,29.0,35,42.0,31,44,61,63,63,53.0,64,54.0,50,73.0,75,72,32,68,67.0,33.0,44.0,44,50.0,68,71,67.0,9,9,14,8,11,1546,332,3,2,Low,High,1,63,33,48,47,69,72,17,48,48,48,47,47,47,47,47,48,48,48,49,53,53,53,49,62,63,63,63,62,64,68,68,68,64,16,68
J. Bandowski,26,LB,LB LM,187.96,80.55,Left,3,600000.0,2000,915000.0,60,59,67,63,36.0,62,46.0,39,51,65,83,90,62.0,63,50.0,69,52.0,56,71,51,64,63.0,50.0,53.0,39,47.0,50,60,59.0,11,14,9,8,14,1689,386,3,2,High,Medium,1,87,57,57,62,58,65,3,63,63,63,63,62,62,62,63,61,61,61,63,58,58,58,63,63,60,60,60,63,63,62,62,62,63,17,65
Rui Patrício,32,GK,GK,190.5,83.25,Left,0,19000000.0,90000,36100000.0,12,12,11,34,16.0,20,10.0,16,32,25,53,57,61.0,79,54.0,58,79.0,45,77,11,37,23.0,13.0,64.0,32,66.0,14,13,11.0,84,80,77,82,83,1375,461,2,1,Medium,Medium,3,84,80,77,83,55,82,75,32,32,32,32,34,34,34,32,36,36,36,34,35,35,35,34,30,33,33,33,30,29,30,30,30,29,82,84
A. López,23,LM,LM LB,172.72,65.7,Left,8,450000.0,6000,855000.0,65,55,47,62,54.0,70,53.0,48,57,65,72,65,69.0,48,77.0,63,42.0,60,41,51,45,57.0,43.0,51.0,61,50.0,55,60,56.0,8,6,5,11,6,1628,353,3,3,High,Medium,1,68,55,59,68,56,47,34,56,56,56,61,58,58,58,61,59,59,59,61,58,58,58,61,60,57,57,57,60,59,54,54,54,59,12,62
Jorge Molina,38,ST,ST,187.96,71.55,Right,0,3700000.0,24000,7800000.0,49,84,83,80,81.0,73,62.0,59,57,79,33,39,33.0,85,36.0,80,46.0,43,89,79,77,41.0,87.0,74.0,80,81.0,45,32,19.0,6,14,8,13,14,1780,370,4,3,Medium,Medium,1,36,82,67,70,42,73,24,78,78,78,70,76,76,76,70,74,74,74,68,70,70,70,68,51,58,58,58,51,48,55,55,55,48,20,78
R. Krauße,26,CB,CDM CM,177.8,74.25,Right,5,775000.0,3000,1200000.0,38,29,57,61,40.0,51,44.0,43,59,59,70,68,72.0,64,72.0,57,87.0,90,71,28,86,64.0,34.0,49.0,40,60.0,63,67,70.0,9,6,13,11,13,1685,359,3,2,Medium,High,1,69,36,52,57,65,80,5,50,50,50,51,51,51,51,51,52,52,52,55,57,57,57,55,64,65,65,65,64,65,67,67,67,65,16,66
G. González,25,RWB,RB RM LB,172.72,72.45,Right,3,4400000.0,500,10000000.0,68,28,59,70,31.0,62,57.0,55,67,61,80,79,84.0,65,78.0,67,61.0,92,55,49,49,70.0,53.0,38.0,51,59.0,70,70,71.0,5,12,13,14,9,1793,380,3,2,High,Medium,1,79,43,61,65,69,63,15,56,56,56,60,57,57,57,60,58,58,58,63,62,62,62,63,72,67,67,67,72,71,65,65,65,71,16,73
M. Rose,36,CM,,180.34,77.4,Left,0,70000.0,1000,123000.0,63,43,53,57,59.0,53,67.0,70,64,61,52,52,62.0,55,63.0,63,69.0,64,69,63,65,54.0,58.0,62.0,65,55.0,58,58,60.0,7,15,6,13,13,1736,348,2,2,Medium,High,1,52,54,61,57,57,67,3,55,55,55,56,56,56,56,56,57,57,57,57,59,59,59,57,58,59,59,59,58,58,59,59,59,58,16,60
D. Lachman,29,CB,CB,187.96,74.25,Right,0,550000.0,3000,798000.0,36,43,62,63,39.0,58,33.0,60,66,58,45,62,38.0,57,41.0,67,71.0,70,79,55,70,65.0,32.0,57.0,44,62.0,62,63,65.0,13,15,8,6,14,1617,352,3,2,Medium,Medium,1,54,50,55,55,63,75,4,54,54,54,51,53,53,53,51,54,54,54,54,59,59,59,54,59,64,64,64,59,60,65,65,65,60,17,66
M. Araujo,25,CB,CB,180.34,70.65,Right,5,2100000.0,4000,3200000.0,41,30,69,64,37.0,52,23.0,41,59,62,65,63,62.0,64,69.0,52,69.0,66,73,32,77,67.0,22.0,27.0,51,67.0,73,73,72.0,13,15,9,16,8,1616,348,3,2,Medium,Medium,1,64,36,48,57,71,72,19,50,50,50,49,48,48,48,49,49,49,49,52,54,54,54,52,63,66,66,66,63,65,70,70,70,65,18,70
R. Ranftl B,28,RM,RM RWB,180.34,74.25,Right,0,3100000.0,20000,4700000.0,73,62,56,70,64.0,72,59.0,49,63,71,76,77,69.0,72,69.0,72,51.0,82,68,65,71,67.0,64.0,64.0,51,69.0,65,65,60.0,11,11,7,7,9,1892,414,3,3,High,High,1,77,64,67,71,64,71,5,67,67,67,70,69,69,69,70,69,69,69,71,68,68,68,71,70,68,68,68,70,69,65,65,65,69,16,72
A. Sampsted,22,RB,RB,180.34,71.55,Right,9,900000.0,1000,1300000.0,59,38,54,60,30.0,58,54.0,37,49,59,78,78,74.0,60,68.0,47,78.0,75,66,35,56,62.0,48.0,49.0,44,55.0,59,65,62.0,15,8,10,14,6,1655,362,3,3,Medium,Medium,1,78,40,55,61,61,67,15,53,53,53,57,55,55,55,57,55,55,55,59,56,56,56,59,64,60,60,60,64,64,62,62,62,64,16,66
D. McNamara B,21,RB,RB RWB,175.26,71.55,Right,12,350000.0,900,0.0,54,22,51,53,26.0,53,36.0,37,50,55,76,75,74.0,51,73.0,41,60.0,67,64,25,55,56.0,51.0,40.0,41,46.0,57,57,57.0,14,6,6,11,15,1509,329,2,2,High,High,1,75,29,49,57,56,63,11,47,47,47,52,49,49,49,52,50,50,50,54,50,50,50,54,58,55,55,55,58,58,57,57,57,58,16,60
R. Draper,31,CB,CM CDM,195.57999999999998,86.4,Right,0,220000.0,1000,385000.0,41,55,63,59,30.0,56,57.0,57,60,57,46,49,41.0,61,35.0,58,70.0,83,85,58,75,62.0,63.0,63.0,57,64.0,59,60,60.0,13,12,8,14,11,1678,355,3,2,Medium,High,1,48,55,56,54,60,82,3,59,59,59,55,58,58,58,55,58,58,58,57,61,61,61,57,59,63,63,63,59,59,64,64,64,59,18,61
N. Belloni,22,LM,RM RW,175.26,67.5,Left,7,325000.0,8000,0.0,59,52,46,58,59.0,64,60.0,53,45,65,70,67,72.0,58,72.0,60,40.0,63,56,56,39,28.0,57.0,55.0,47,57.0,30,36,32.0,12,12,7,7,8,1545,331,2,3,Medium,Medium,1,68,55,56,65,33,54,5,58,58,58,61,60,60,60,61,60,60,60,60,55,55,55,60,50,45,45,45,50,47,39,39,39,47,15,61
N. Laursen,22,CAM,RM CAM,182.88,69.3,Left,5,2400000.0,4000,3700000.0,73,62,50,66,68.0,76,74.0,73,55,74,78,76,77.0,65,67.0,72,51.0,66,57,65,42,38.0,60.0,68.0,58,64.0,40,28,26.0,7,7,7,11,6,1743,376,3,3,Medium,Medium,1,77,65,67,75,36,56,16,65,65,65,70,68,68,68,70,69,69,69,69,63,63,63,69,56,51,51,51,56,53,44,44,44,53,14,70
B. Saka,18,LM,LM LWB RW,177.8,64.35000000000001,Left,13,12000000.0,22000,30300000.0,79,60,45,74,55.0,78,72.0,48,63,76,86,82,83.0,71,82.0,64,51.0,76,58,60,64,53.0,68.0,71.0,58,70.0,55,58,62.0,7,8,13,9,13,1902,412,4,3,High,Medium,1,84,61,71,78,55,63,1400,66,66,66,74,71,71,71,74,73,73,73,74,70,70,70,74,69,65,65,65,69,67,59,59,59,67,16,75
